ml,fold,groundtruth,predicted,TP,FP,dif,fileName
1_sabl,fold_1,2,0,0,0,-2,20230512_153003_jpg.rf.3e11918b7e073ed9642c3d889f82a10b.jpg
1_sabl,fold_1,3,2,2,0,-1,20230512_152344_jpg.rf.9cdeba0a7faf9c91db6a1bec355cd79f.jpg
1_sabl,fold_1,8,1,1,0,-7,20230512_150202_jpg.rf.2d354a6afba7660a4bdb4422aacb0bf1.jpg
1_sabl,fold_1,2,1,1,0,-1,20230512_151842_jpg.rf.0400a2b89be930a6aee77dd6416cc317.jpg
1_sabl,fold_1,1,0,0,0,-1,20230512_153001_jpg.rf.9e1933e066ac83bf9fbd01b8def6158d.jpg
1_sabl,fold_1,6,3,3,0,-3,IMG_4052_JPG.rf.a484ba8b08f647c9d706f26a2c1bdd88.jpg
1_sabl,fold_1,1,0,0,0,-1,IMG_3933_JPG.rf.b0d6e8cf999e8234386ed5bb6107f61a.jpg
1_sabl,fold_1,23,0,0,0,-23,20230512_153423_jpg.rf.199d17397bc75e4b3c997992a9469adb.jpg
1_sabl,fold_1,1,0,0,0,-1,230512_150115_jpg.rf.048aa47fa124320a4fa8a5c30506622b.jpg
1_sabl,fold_1,8,6,6,0,-2,20230512_152239_jpg.rf.5270f7fe5715e9e4db1967390d36c76d.jpg
1_sabl,fold_1,7,4,4,0,-3,IMG_20230512_152358_jpg.rf.14382fa8e1d185e8ecd9b6b625021b8f.jpg
1_sabl,fold_1,1,1,1,0,0,20230512_151657_jpg.rf.ae916e776287bd8044bda6da1e1dec7e.jpg
1_sabl,fold_1,2,0,0,0,-2,IMG_4202_JPG.rf.389eb0baa38b2b42b82e272dae53dd7b.jpg
1_sabl,fold_1,10,0,0,0,-10,20230512_150031_jpg.rf.5b7cf141f46aecb85b2c9e4f6977aa4c.jpg
1_sabl,fold_1,4,0,0,0,-4,IMG_20230512_151251_jpg.rf.13115516a78a5324e008f7864789fbec.jpg
1_sabl,fold_1,17,0,0,0,-17,20230512_150005_jpg.rf.77d140d77f3f48953c783c2d50e6f910.jpg
