ml,fold,mAP,mAP50,mAP75,MAE,RMSE,r,precision,recall,fscore
1_SABL,fold_1,0.3207,0.4446,0.3632,5.222929936305732,11.19542672781321,0.31936352752655783,0.855,0.243,0.378
1_SABL,fold_2,0,0,0,8.070063694267516,14.831752820207907,nan,0,0.0,0
1_SABL,fold_3,0.3421,0.4718,0.3756,4.452229299363057,8.219520031859533,0.47224350323670095,0.826,0.343,0.485
1_SABL,fold_4,0.3397,0.484,0.3789,4.554140127388535,7.837115678973043,0.6991880505910151,0.826,0.409,0.547
1_SABL,fold_5,0.2429,0.3414,0.278,6.248407643312102,10.485962712728806,0.2466278782334027,0.829,0.141,0.241
1_SABL,fold_6,0.3853,0.5271,0.4377,3.6687898089171975,9.455224687195452,0.6003419815660496,0.833,0.401,0.541
1_SABL,fold_7,0.3469,0.4752,0.397,4.917197452229299,9.09749037978008,0.3748713600993072,0.768,0.313,0.445
1_SABL,fold_8,0,0,0,8.878980891719745,16.87609397256073,nan,0,0.0,0
1_SABL,fold_9,0.4086,0.5814,0.465,3.388535031847134,6.591830496862237,0.7402493256245773,0.876,0.496,0.633
1_SABL,fold_10,0.378,0.5406,0.423,4.8354430379746836,9.591003168185896,0.5153147309180742,0.896,0.385,0.539
2_Fovea,fold_1,0.2557,0.3628,0.2917,5.592356687898089,10.845175627665256,0.5679100409863577,0.842,0.195,0.317
2_Fovea,fold_2,0.294,0.4395,0.3161,4.993630573248407,11.639489121364797,0.6546332290731208,0.782,0.301,0.435
2_Fovea,fold_3,0.3087,0.4468,0.3412,4.006369426751593,6.981777920410839,0.7250231435170591,0.82,0.384,0.523
2_Fovea,fold_4,0.2874,0.4225,0.3195,5.3312101910828025,8.53206764764257,0.6581712517990099,0.838,0.332,0.476
2_Fovea,fold_5,0.3145,0.4659,0.359,4.43312101910828,7.7220834784666526,0.7921213026385573,0.837,0.342,0.486
2_Fovea,fold_6,0.3066,0.4386,0.3372,3.9808917197452227,9.476420620186751,0.62054135770875,0.794,0.344,0.48
2_Fovea,fold_7,0.3008,0.4311,0.3523,5.267515923566879,9.16688862885101,0.45305561663983723,0.782,0.263,0.394
2_Fovea,fold_8,0.2157,0.304,0.2471,7.146496815286624,14.894533687160594,0.5554236142623921,0.777,0.153,0.256
2_Fovea,fold_9,0.1503,0.2105,0.1674,6.509554140127388,9.911069536788515,0.40640604191823676,0.864,0.109,0.194
2_Fovea,fold_10,0.3185,0.4651,0.3496,4.7974683544303796,9.014053724987555,0.6623135585189578,0.843,0.365,0.509
3_DETR,fold_1,0.4973,0.7165,0.5447,2.484076433121019,5.915541443794338,0.9116258216407365,0.883,0.606,0.719
3_DETR,fold_2,0.4453,0.6713,0.4945,3.254777070063694,9.115326213280701,0.8051772529772258,0.817,0.533,0.645
3_DETR,fold_3,0.4915,0.7092,0.5476,2.5605095541401273,4.968691788506505,0.8357652137774231,0.821,0.6,0.693
3_DETR,fold_4,0.4638,0.6898,0.5146,2.751592356687898,5.716218963236869,0.8161911795230455,0.845,0.636,0.726
3_DETR,fold_5,0.4926,0.7181,0.5554,2.5095541401273884,6.394663380133697,0.7861165752783134,0.854,0.586,0.695
3_DETR,fold_6,0.4651,0.6767,0.5231,2.573248407643312,8.025437266099706,0.7488562625905562,0.87,0.572,0.69
3_DETR,fold_7,0.496,0.719,0.5524,3.0,6.305896542934326,0.7406162362051204,0.824,0.563,0.669
3_DETR,fold_8,0.4596,0.6821,0.5132,3.3312101910828025,10.993049338466639,0.793129494874756,0.853,0.552,0.67
3_DETR,fold_9,0.4806,0.7157,0.5445,2.484076433121019,5.274623782883042,0.8368376929414322,0.876,0.622,0.727
3_DETR,fold_10,0.4757,0.7048,0.5336,2.8544303797468356,5.798843184505079,0.8712723775744484,0.896,0.624,0.736
4_Faster,fold_1,0.476,0.6764,0.529,1.9426751592356688,5.0921445684242395,0.9333275474463915,0.818,0.641,0.719
4_Faster,fold_2,0.4282,0.6507,0.4601,2.1337579617834397,5.883692241688416,0.9289986046831512,0.739,0.603,0.664
4_Faster,fold_3,0.4458,0.6521,0.5151,1.7961783439490446,3.8556765992775586,0.8803212451793792,0.75,0.665,0.705
4_Faster,fold_4,0.4113,0.611,0.4628,2.0636942675159236,4.836169458553653,0.8442510509711031,0.765,0.666,0.712
4_Faster,fold_5,0.4538,0.6724,0.4918,1.7070063694267517,3.8655756569023025,0.949062366222245,0.796,0.645,0.713
4_Faster,fold_6,0.4504,0.6502,0.5013,1.9171974522292994,6.422988172966201,0.8470671626371871,0.778,0.625,0.693
4_Faster,fold_7,0.4842,0.7053,0.5542,2.1528662420382165,5.112741670428404,0.8182360626068474,0.758,0.631,0.689
4_Faster,fold_8,0.4194,0.6324,0.4796,2.210191082802548,7.030869151044434,0.9479041043792658,0.777,0.628,0.695
4_Faster,fold_9,0.4564,0.6826,0.5183,1.7006369426751593,4.027769846491447,0.890805301355865,0.8,0.68,0.735
4_Faster,fold_10,0.4455,0.6766,0.4945,2.088607594936709,5.208318565379907,0.8808732200957503,0.804,0.654,0.721
5_ATSS,fold_1,0.4031,0.5643,0.4457,5.445859872611465,11.485521209428386,0.24626484816294775,0.952,0.241,0.385
5_ATSS,fold_2,0.0794,0.1087,0.0886,8.070063694267516,14.831752820207907,nan,0,0.0,0
5_ATSS,fold_3,0.3869,0.5374,0.4218,6.031847133757962,9.821009586563036,0.19579335078317672,0.945,0.179,0.301
5_ATSS,fold_4,0.0342,0.0479,0.0394,8.32484076433121,12.091740614270657,nan,0,0.0,0
5_ATSS,fold_5,0.3084,0.4217,0.3555,7.025477707006369,11.254157052192493,-0.014800534463641282,0.969,0.054,0.102
5_ATSS,fold_6,0.4142,0.5679,0.4599,4.579617834394904,10.463463883108739,0.5177360195237248,0.913,0.308,0.461
5_ATSS,fold_7,0.1693,0.2257,0.196,7.630573248407643,11.42797996649669,nan,0,0.0,0
5_ATSS,fold_8,0.0729,0.0998,0.0828,8.878980891719745,16.87609397256073,nan,0,0.0,0
5_ATSS,fold_9,0.4246,0.6036,0.475,4.687898089171974,8.274740937311442,0.5524171929723862,0.959,0.361,0.525
5_ATSS,fold_10,0.3773,0.5451,0.4084,6.284810126582278,11.272516145615608,0.19185469853094933,0.964,0.24,0.384
